Epoch,Train Loss,Val Loss,Val MDE (meters),Val MedDE (meters),Accuracy@5m
1,0.042095,0.035146,76.0463,80.7454,0.00
2,0.032020,0.024161,43.3806,39.9480,4.11
3,0.025124,0.021199,40.3157,34.9212,2.74
4,0.023176,0.015877,26.9017,23.8247,9.59
5,0.018126,0.013040,21.7229,15.8509,13.70
6,0.016330,0.015185,29.4726,26.8614,5.48
7,0.015329,0.011895,22.1337,12.8609,13.70
8,0.013473,0.010494,18.4856,14.6096,17.81
9,0.013084,0.009359,21.3506,15.2826,10.96
10,0.012129,0.007524,16.5708,10.2433,28.77
11,0.010226,0.009257,20.6213,15.9453,20.55
12,0.009545,0.008037,19.6734,15.0515,16.44
13,0.008853,0.006048,12.9911,9.8100,27.40
14,0.008438,0.006052,12.6299,8.4161,30.14
15,0.009030,0.004921,11.6287,8.0561,39.73
16,0.007291,0.005264,12.4973,8.7763,35.62
17,0.008170,0.005720,13.0747,9.0972,17.81
18,0.007639,0.005716,14.1153,8.4801,26.03
19,0.008434,0.004867,11.1381,7.7286,36.99
20,0.007725,0.004806,13.2630,8.3596,28.77
21,0.006685,0.006761,17.7307,15.0334,24.66
22,0.006922,0.005878,15.4104,14.5106,26.03
23,0.007676,0.004578,13.1078,10.0752,24.66
24,0.006060,0.004471,11.9291,9.8008,26.03
25,0.006067,0.004202,11.1822,7.7286,36.99
26,0.005799,0.005802,13.4893,13.2797,30.14
27,0.006801,0.003482,8.9689,5.2948,47.95
28,0.006544,0.004485,12.4963,10.5289,31.51
29,0.006942,0.003408,9.1670,4.7947,50.68
30,0.006677,0.005964,15.3719,9.5668,35.62
31,0.005621,0.004093,10.9465,7.2625,42.47
32,0.005919,0.003954,10.6183,7.1783,41.10
33,0.005512,0.004862,12.4621,11.9806,34.25
34,0.005063,0.003963,11.4709,6.5888,36.99
35,0.005811,0.005215,14.1374,8.7351,32.88
36,0.005533,0.004348,11.5925,8.7222,35.62
37,0.004783,0.004347,12.2664,9.8215,38.36
38,0.004972,0.002902,7.5817,5.4614,46.58
39,0.005193,0.003488,9.8607,6.5477,42.47
40,0.005370,0.004196,10.6621,5.8079,43.84
41,0.005527,0.004327,10.7816,7.1490,42.47
42,0.004953,0.002731,8.1698,5.4490,43.84
43,0.004735,0.002810,7.7091,5.0863,49.32
44,0.005281,0.003459,9.1582,6.9001,42.47
45,0.004950,0.002953,7.2874,3.6854,57.53
46,0.004735,0.003823,9.0019,6.9489,39.73
47,0.005523,0.003209,8.4516,5.1217,49.32
48,0.005253,0.003381,8.5617,6.5477,42.47
49,0.004621,0.002813,7.0437,5.1075,45.21
50,0.004631,0.003961,10.4080,6.9262,45.21
51,0.004851,0.002828,7.1610,5.0863,47.95
52,0.005355,0.002946,7.4555,5.0153,49.32
53,0.004817,0.002822,6.8666,5.3582,49.32
54,0.004142,0.003445,8.1623,4.7947,50.68
