Epoch,Train Loss,Val Loss,Val MDE (meters),Val MedDE (meters),Accuracy@5m
1,0.032411,0.022731,46.3070,37.2476,0.87
2,0.021501,0.018374,33.1993,28.0933,1.73
3,0.017891,0.015692,29.1591,25.1551,3.03
4,0.015368,0.014471,27.3487,22.7432,3.03
5,0.014508,0.014640,26.3467,21.9044,4.76
6,0.013030,0.012693,24.9121,20.7953,5.63
7,0.011923,0.011356,23.4361,18.6340,9.09
8,0.011018,0.011977,24.2622,21.0511,8.23
9,0.010244,0.010766,21.2376,17.0793,11.69
10,0.009394,0.010987,22.1412,18.0695,6.06
11,0.008777,0.010069,21.1218,16.6281,10.82
12,0.008390,0.009874,21.1327,15.7704,8.23
13,0.008009,0.009017,19.0992,16.3959,10.39
14,0.007552,0.009691,19.6312,16.7793,10.82
15,0.007308,0.009548,19.7668,15.9731,6.93
16,0.007274,0.009173,18.9073,15.6101,12.12
17,0.006980,0.008952,18.6098,14.4998,10.82
18,0.006442,0.009102,19.8891,16.3744,11.69
19,0.005991,0.008883,18.9496,14.2198,10.39
20,0.006186,0.009016,19.8951,15.5790,9.09
21,0.005799,0.008810,18.5542,13.8056,11.69
22,0.005956,0.008943,19.4962,14.5197,12.55
23,0.005654,0.009395,18.6114,14.6096,12.55
24,0.005676,0.008763,19.1150,14.3884,9.96
25,0.005415,0.008839,18.7964,15.5337,12.12
26,0.005236,0.008731,18.5013,14.3599,11.69
27,0.005482,0.008662,19.5746,14.2851,11.26
28,0.005251,0.008153,17.6248,13.5697,10.82
29,0.005306,0.008514,17.7384,14.3481,15.15
30,0.005249,0.007910,17.1843,13.5975,15.58
31,0.005021,0.007900,17.1444,13.3575,13.85
32,0.004918,0.007996,17.1419,13.9597,14.72
33,0.005028,0.008241,16.9833,13.9760,16.88
34,0.004928,0.007890,16.7737,14.2345,14.72
35,0.004564,0.008130,17.0618,13.0694,13.85
36,0.004511,0.007907,16.7921,13.4324,18.18
37,0.004627,0.008211,18.1464,12.7602,13.85
38,0.004368,0.007910,17.0528,12.4888,17.75
39,0.004426,0.007687,16.6735,12.0029,15.15
40,0.004137,0.007974,17.1520,13.0677,13.85
41,0.004334,0.007666,16.7982,12.2996,14.29
42,0.004184,0.008556,18.2236,14.2270,9.96
43,0.003983,0.007668,17.1894,12.7924,11.69
44,0.004166,0.008260,17.8382,14.3251,16.45
45,0.004015,0.007529,15.9686,11.8059,17.75
46,0.003895,0.007441,16.0198,12.9975,14.29
47,0.003890,0.006935,15.0818,11.6646,18.18
48,0.003959,0.007955,17.3616,12.8856,12.99
49,0.003902,0.007344,15.9052,12.1011,14.72
50,0.003839,0.007860,17.4325,13.1469,17.75
51,0.003665,0.007898,17.4972,13.6152,16.45
52,0.004024,0.007427,15.9349,11.2023,18.18
53,0.003749,0.007557,16.3895,12.0463,16.88
54,0.003901,0.007420,15.4345,11.2848,19.05
55,0.003549,0.007750,16.6125,13.4240,12.12
56,0.003722,0.008009,17.0576,12.5013,10.82
57,0.003713,0.007810,16.6144,12.3039,12.99
58,0.003737,0.007383,15.1680,11.2688,18.61
59,0.003429,0.007206,15.5170,11.9901,16.45
