Epoch,Train Loss,Val Loss,Val MDE (meters),Val MedDE (meters),Accuracy@5m
1,0.044522,0.036580,74.3070,79.5592,0.00
2,0.036816,0.030003,54.0129,34.6353,0.00
3,0.032274,0.025654,48.0218,44.3394,1.37
4,0.026747,0.021730,35.1869,30.2546,9.59
5,0.024222,0.018665,30.5944,22.3412,8.22
6,0.024250,0.020018,35.5429,31.3046,6.85
7,0.022824,0.016828,26.5049,19.2433,9.59
8,0.021236,0.016131,27.6144,23.7554,15.07
9,0.017648,0.014753,26.4167,23.0382,2.74
10,0.017939,0.015101,26.5189,20.5998,12.33
11,0.017619,0.019274,35.0025,27.9633,4.11
12,0.016719,0.013479,24.9977,20.5141,10.96
13,0.014933,0.013301,24.4658,21.2337,10.96
14,0.017065,0.013225,22.0365,17.6409,20.55
15,0.014308,0.012309,23.2312,22.7605,24.66
16,0.012941,0.010437,17.7461,14.8963,28.77
17,0.013001,0.012557,24.0972,19.8257,17.81
18,0.012442,0.010720,20.1851,15.7964,24.66
19,0.013089,0.009788,20.2829,15.4571,16.44
20,0.011452,0.009700,19.8004,16.1926,20.55
21,0.012073,0.008891,16.1160,10.6630,34.25
22,0.011696,0.008673,17.8655,13.3138,23.29
23,0.010432,0.008402,18.0304,13.6763,31.51
24,0.010078,0.006889,15.2485,10.1660,32.88
25,0.009867,0.008562,20.1728,17.5063,27.40
26,0.010039,0.007962,19.1960,14.9205,12.33
27,0.010025,0.005862,12.9418,8.7351,41.10
28,0.009449,0.005709,13.7778,9.8215,28.77
29,0.008793,0.007929,19.8746,16.3691,24.66
30,0.008453,0.005927,14.9284,10.1821,30.14
31,0.008650,0.006161,15.1214,12.0463,30.14
32,0.008276,0.005572,12.3658,9.0773,36.99
33,0.008724,0.005790,14.5061,10.9907,34.25
34,0.006883,0.005827,14.8227,10.8981,36.99
35,0.008926,0.005548,13.3845,9.7757,34.25
36,0.008063,0.006608,16.3058,13.4575,28.77
37,0.007350,0.006058,15.2437,9.9342,26.03
38,0.007687,0.005995,15.2903,12.7331,30.14
39,0.008277,0.005519,12.6146,8.3488,35.62
40,0.007534,0.007519,18.5435,11.6177,32.88
41,0.008141,0.005555,13.0823,8.3515,31.51
42,0.007628,0.004587,11.6938,8.3596,36.99
43,0.006364,0.005505,14.4223,10.3832,31.51
44,0.007468,0.004543,12.1565,9.4760,35.62
45,0.006952,0.005164,11.6064,8.7222,31.51
46,0.006988,0.004801,11.2247,8.1230,36.99
47,0.007804,0.005521,13.2277,11.2848,27.40
48,0.006513,0.005770,14.7126,11.3247,35.62
49,0.006802,0.005603,13.9551,6.9262,34.25
50,0.006981,0.004946,13.2907,8.4342,35.62
51,0.007949,0.005416,13.5811,10.1727,34.25
52,0.006027,0.004767,12.9378,9.4402,39.73
53,0.006189,0.004534,11.7506,7.6258,39.73
54,0.006592,0.006942,17.7226,12.0986,28.77
55,0.007352,0.005784,14.8537,12.7490,24.66
56,0.006454,0.003872,10.0831,6.9001,39.73
57,0.005452,0.003922,10.3665,8.9357,39.73
58,0.005572,0.003641,9.3150,5.4449,46.58
59,0.006129,0.005224,14.6087,12.7331,24.66
60,0.005952,0.004452,11.2484,8.3596,31.51
61,0.005837,0.004180,11.4501,8.3596,36.99
62,0.005998,0.004081,10.5006,6.1745,38.36
63,0.005755,0.004457,11.4209,8.5647,30.14
64,0.005859,0.004547,11.0288,9.4973,36.99
65,0.005504,0.004663,10.9542,5.8118,43.84
66,0.005162,0.005229,12.0046,7.6700,38.36
67,0.006072,0.004343,10.2681,6.2291,46.58
68,0.005641,0.004187,10.4700,6.9099,43.84
69,0.005839,0.004751,12.9716,11.5376,34.25
70,0.005247,0.003128,8.2596,5.0863,49.32
71,0.005109,0.003353,8.4082,5.1916,47.95
72,0.005383,0.003139,8.5815,5.4449,49.32
73,0.005787,0.003281,9.2109,6.1745,42.47
74,0.004980,0.003216,8.7425,6.8969,46.58
75,0.005188,0.002866,8.2134,3.9986,54.79
76,0.005081,0.003784,10.7029,7.6494,35.62
77,0.005174,0.003160,7.5064,3.6821,57.53
78,0.004861,0.003625,9.5620,7.2723,39.73
79,0.004591,0.003523,8.8298,5.0863,46.58
80,0.004796,0.004528,11.9085,9.6293,38.36
81,0.005042,0.003763,9.4926,5.0863,49.32
82,0.004786,0.003553,8.6159,6.3473,47.95
83,0.004231,0.003487,8.6407,4.3164,52.05
84,0.004600,0.003746,9.1157,5.4614,46.58
85,0.004748,0.003522,8.6549,5.4820,49.32
86,0.005014,0.003274,8.7090,5.0863,46.58
87,0.004719,0.002764,6.7087,2.9039,60.27
88,0.004522,0.003049,7.7791,4.0434,53.42
89,0.004920,0.002977,7.6086,4.7617,52.05
90,0.004254,0.002818,6.8744,3.8470,58.90
91,0.003929,0.002950,6.8767,3.6547,58.90
92,0.004573,0.003032,7.3212,3.2944,60.27
93,0.004061,0.003016,7.1866,4.0154,57.53
94,0.003901,0.003068,7.2873,3.7820,57.53
95,0.004397,0.003187,7.7472,4.3559,50.68
96,0.004616,0.002925,6.7336,3.6361,54.79
97,0.004459,0.003123,8.3483,5.5474,49.32
98,0.005059,0.002729,6.2911,2.8974,61.64
99,0.004530,0.002988,7.9577,5.0863,49.32
100,0.004146,0.002968,7.2556,2.5762,60.27
