Epoch,Train Loss,Val Loss,Val MDE (meters),Val MedDE (meters),Accuracy@5m
1,0.032047,0.022998,51.4527,44.6526,3.03
2,0.024967,0.019682,43.3561,33.4627,0.87
3,0.022057,0.018246,39.2570,33.1190,2.16
4,0.020657,0.017474,38.1566,30.9839,2.60
5,0.019082,0.016597,35.4640,29.1911,4.33
6,0.017954,0.015369,32.7985,27.4180,3.90
7,0.016931,0.015048,30.6235,26.4978,4.33
8,0.015858,0.013827,30.1093,25.1473,3.90
9,0.014867,0.013049,27.2370,22.6154,3.90
10,0.014392,0.014745,33.6005,29.8931,2.60
11,0.013295,0.013892,28.9214,24.1412,4.76
12,0.013215,0.013822,27.4714,24.7048,2.16
13,0.012678,0.014539,28.7785,25.2933,4.33
14,0.012562,0.012068,26.8397,22.8396,5.19
15,0.011608,0.011296,24.8204,22.6438,4.76
16,0.010922,0.011832,26.0355,22.2861,6.93
17,0.010734,0.011019,22.9262,21.1205,8.23
18,0.010694,0.010579,22.0715,19.8970,4.33
19,0.010028,0.010559,23.7218,19.6945,5.63
20,0.009815,0.011293,25.7460,21.5406,6.06
21,0.009603,0.010144,21.8579,16.9987,8.66
22,0.008920,0.011008,25.0771,22.1816,5.63
23,0.008338,0.009998,20.5180,15.9890,8.66
24,0.008690,0.010001,21.6832,17.3814,7.36
25,0.008231,0.010788,22.0398,17.2417,9.09
26,0.008246,0.009883,21.7300,17.0937,9.09
27,0.007840,0.010004,21.7610,18.0951,5.19
28,0.007581,0.010272,23.2330,19.6120,6.93
29,0.007618,0.009203,19.6572,14.4416,9.52
30,0.007975,0.009869,21.3709,15.5596,8.66
31,0.006639,0.009705,21.4412,17.6568,10.39
32,0.007143,0.010133,23.1729,19.1533,7.36
33,0.006756,0.009021,19.7069,16.0856,10.39
34,0.006842,0.010403,24.5384,21.0891,7.36
35,0.006398,0.008834,18.7557,14.2313,10.39
36,0.006672,0.008721,18.3472,12.5357,12.12
37,0.005870,0.009312,19.5379,14.1860,8.66
38,0.006298,0.008955,19.6743,15.0049,10.39
39,0.006332,0.009193,20.1728,14.6972,13.85
40,0.005779,0.008854,18.5633,14.8827,12.99
41,0.005930,0.008760,18.6940,13.6874,12.55
42,0.005804,0.009570,20.9035,17.6089,11.26
43,0.005929,0.009012,20.2491,15.2734,6.93
44,0.005828,0.008552,18.8089,14.8574,9.96
45,0.005715,0.009593,21.4274,16.7712,8.23
46,0.005632,0.008520,18.4638,14.3251,11.69
47,0.005421,0.008189,17.0547,12.8220,15.15
48,0.005370,0.009238,20.0147,15.9303,12.99
49,0.005135,0.008423,18.4321,14.4998,12.12
50,0.005129,0.009417,21.3132,17.3500,8.23
51,0.005371,0.008378,17.6121,13.7954,15.58
52,0.005283,0.007941,17.1690,14.7064,14.72
53,0.005407,0.008414,18.4056,14.1583,10.82
54,0.004869,0.008038,17.4822,14.2932,14.72
55,0.004955,0.008025,17.1618,12.7118,9.96
56,0.004606,0.008799,19.4100,14.5158,13.85
57,0.005033,0.007807,16.3923,11.4926,16.02
58,0.004767,0.008316,17.7492,13.5975,15.58
59,0.004772,0.007896,17.4582,12.7331,17.75
60,0.004506,0.007609,16.5311,12.1040,15.15
61,0.004288,0.008206,18.2444,15.3254,11.26
62,0.004446,0.008379,17.1433,13.1449,16.45
63,0.004480,0.008595,18.3649,14.6318,10.82
64,0.004881,0.008307,17.8985,12.8609,11.69
65,0.004630,0.008053,17.0010,12.6398,15.58
66,0.004345,0.007871,16.4269,12.0279,16.02
67,0.004592,0.007830,15.9226,12.0029,13.85
68,0.004471,0.007624,16.0908,11.1858,19.05
69,0.004423,0.008344,17.9599,12.7092,14.29
70,0.004312,0.008050,17.1603,11.8741,16.45
71,0.004264,0.008121,17.2200,12.0706,16.45
72,0.003853,0.008143,17.2739,12.6020,19.48
