Epoch,Train Loss,Val Loss,Val MDE (meters),Val MedDE (meters),Accuracy@5m
1,0.006746,0.005722,11.4664,7.0666,41.67
2,0.005691,0.005907,12.0241,5.9705,41.67
3,0.005472,0.005745,11.7195,6.7704,44.44
4,0.005373,0.005744,11.8082,6.2087,44.44
5,0.005168,0.005729,11.8504,5.3022,50.00
6,0.004238,0.005708,11.7467,4.8129,52.78
7,0.004732,0.005606,11.4470,4.4551,55.56
8,0.004169,0.005745,12.0701,5.7463,47.22
9,0.004196,0.005562,11.6992,4.1380,52.78
10,0.004207,0.005709,12.0482,5.0048,50.00
11,0.004188,0.005709,12.0268,5.1219,50.00
12,0.004059,0.005813,12.1263,4.6986,52.78
