Epoch,Train Loss,Val Loss,Val MDE (meters),Val MedDE (meters),Accuracy@5m
1,0.045238,0.043794,88.2503,85.3987,0.00
2,0.034372,0.028065,44.3705,37.7789,5.48
3,0.026344,0.026917,41.7347,37.1412,1.37
4,0.022451,0.023001,32.5923,26.3508,5.48
5,0.020922,0.021346,29.9492,24.7574,8.22
6,0.019800,0.018762,26.6729,18.6104,8.22
7,0.018204,0.016324,24.0441,17.6409,9.59
8,0.016204,0.015879,25.3033,20.9059,17.81
9,0.016307,0.015764,25.0614,21.4260,8.22
10,0.014853,0.015793,26.8878,23.2935,6.85
11,0.013952,0.015467,26.1394,23.5945,15.07
12,0.013026,0.013685,21.9197,17.1295,9.59
13,0.013620,0.012666,19.2454,13.1746,17.81
14,0.012744,0.015629,26.1711,23.6287,10.96
15,0.012007,0.014863,24.8021,21.0632,17.81
16,0.010908,0.013099,21.2265,18.9186,23.29
17,0.011916,0.012491,18.2272,13.8736,24.66
18,0.010884,0.012930,21.8804,17.0660,21.92
19,0.011634,0.010156,14.8709,9.9469,31.51
20,0.010163,0.010353,15.5751,9.8031,31.51
21,0.009646,0.010165,16.7884,13.3561,30.14
22,0.008833,0.011555,22.2641,21.2931,19.18
23,0.009361,0.010661,17.2017,14.5445,32.88
24,0.009566,0.010811,19.2012,14.4965,27.40
25,0.008693,0.009667,17.0852,13.1520,26.03
26,0.008934,0.010459,18.8133,13.1108,27.40
27,0.009263,0.009117,14.6596,11.3027,27.40
28,0.008526,0.008214,14.0973,11.7105,28.77
29,0.008065,0.008064,14.1627,10.2719,32.88
30,0.007432,0.009231,17.3962,15.2988,26.03
31,0.008225,0.008137,13.6026,9.3199,35.62
32,0.007519,0.007328,12.2847,9.8833,39.73
33,0.007268,0.008105,13.4666,7.6258,31.51
34,0.007385,0.008439,15.2778,8.4801,41.10
35,0.007470,0.009557,15.7553,10.4851,24.66
36,0.007009,0.007768,14.7447,9.2738,26.03
37,0.006484,0.007773,15.8937,14.7415,27.40
38,0.006218,0.007104,14.4550,10.6988,36.99
39,0.006631,0.006863,14.3045,9.4853,36.99
40,0.006350,0.006265,13.0235,9.6917,32.88
41,0.006009,0.005874,11.5218,7.0135,35.62
42,0.006670,0.006571,13.2976,8.8045,39.73
43,0.006428,0.005753,11.5628,5.8079,46.58
44,0.005924,0.006965,12.6354,8.4161,39.73
45,0.006005,0.006661,12.2081,8.7222,35.62
46,0.006875,0.005991,11.6554,7.3371,34.25
47,0.006345,0.006346,11.4914,7.9103,36.99
48,0.006322,0.007105,10.8354,5.4449,46.58
49,0.006129,0.005548,9.6363,5.4490,46.58
50,0.005699,0.006157,10.5773,5.8697,45.21
51,0.005146,0.006730,11.8522,8.6784,39.73
52,0.005693,0.006219,10.5423,5.0996,46.58
53,0.005158,0.005770,10.6347,6.9490,39.73
54,0.005407,0.005963,10.2879,5.6817,49.32
55,0.005453,0.006073,10.1375,5.1524,47.95
56,0.005504,0.005930,9.6327,5.0153,49.32
57,0.005580,0.006842,12.2506,6.8041,38.36
58,0.004646,0.005913,10.6045,4.9474,50.68
59,0.005131,0.006300,11.5476,6.1855,45.21
60,0.004881,0.006260,11.4656,6.9099,39.73
61,0.004957,0.006014,11.5506,6.9490,39.73
