Epoch,Train Loss,Val Loss,Val MDE (meters),Val MedDE (meters),Accuracy@5m
1,0.030760,0.024369,54.7336,41.9596,1.30
2,0.022968,0.018321,36.3066,27.2220,3.03
3,0.019758,0.020189,41.2919,37.2455,3.03
4,0.018715,0.016438,31.5442,24.4497,3.03
5,0.016067,0.014749,29.4790,22.2838,6.06
6,0.014574,0.013681,27.2047,21.0482,2.60
7,0.013333,0.013499,27.0825,21.1604,5.19
8,0.012903,0.014724,27.7053,21.9001,3.46
9,0.011468,0.012574,24.9050,20.8731,6.93
10,0.010615,0.012739,26.0846,19.7510,5.63
11,0.010321,0.012734,25.6700,19.8969,7.36
12,0.009762,0.011924,23.1556,19.6119,8.23
13,0.009355,0.012438,23.4649,19.0388,6.49
14,0.008704,0.011790,23.1123,18.2863,6.06
15,0.008436,0.012429,24.4864,18.9471,6.06
16,0.008701,0.011394,22.5552,18.1362,6.93
17,0.007950,0.011546,23.7043,18.2926,8.23
18,0.007591,0.011128,21.9932,16.6223,8.66
19,0.007029,0.010345,21.3506,15.4571,10.39
20,0.007148,0.010655,21.0932,15.7008,9.52
21,0.006772,0.010754,21.9402,15.8010,8.23
22,0.006840,0.010256,20.5045,15.4618,11.26
23,0.006325,0.010462,21.5417,16.2009,11.26
24,0.006734,0.010281,20.2023,16.2927,10.82
25,0.006221,0.010025,20.0608,16.2153,10.82
26,0.006210,0.010499,21.5924,15.9452,11.26
27,0.005846,0.009411,18.6251,14.8561,11.26
28,0.005711,0.010147,20.6878,16.1904,11.26
29,0.005426,0.009593,18.8883,13.4551,12.12
30,0.005490,0.010067,19.7366,14.5066,13.42
31,0.005356,0.009952,19.5583,14.0885,11.26
32,0.005341,0.010389,21.4695,16.3471,8.23
33,0.005021,0.009244,18.4039,13.9901,15.15
34,0.004858,0.009608,19.8008,14.7285,12.12
35,0.004826,0.009295,18.9319,14.3251,12.99
36,0.004546,0.009360,18.5071,12.5752,14.72
37,0.004586,0.009021,18.0516,12.5737,9.96
38,0.004374,0.009272,18.7674,13.4686,14.72
39,0.004601,0.009367,18.7418,13.6886,12.55
40,0.004585,0.008989,18.1749,13.3561,12.99
41,0.004282,0.008910,17.8904,13.4645,17.32
42,0.004068,0.009435,18.7543,13.1225,15.58
43,0.004151,0.008935,18.3362,13.1108,13.85
44,0.004158,0.008931,18.5393,13.2067,14.29
45,0.004223,0.009000,18.8543,13.1511,10.82
46,0.004255,0.009774,19.8504,14.0261,13.42
47,0.004302,0.008745,17.7801,12.2850,10.39
48,0.003937,0.009030,18.2154,12.5736,13.42
49,0.003982,0.009051,18.1046,12.4638,15.58
50,0.003804,0.009085,17.8810,11.5413,16.88
51,0.003457,0.009207,17.7882,12.2229,13.85
52,0.003767,0.009316,18.3382,12.5608,12.99
53,0.003820,0.008940,17.7724,12.3421,14.29
54,0.003657,0.009001,17.5925,11.6948,18.61
55,0.003512,0.009406,18.8647,13.6033,13.85
56,0.003691,0.009012,18.3507,12.1243,13.85
57,0.003694,0.009352,18.9462,12.2964,16.45
58,0.003552,0.008856,17.7908,12.3528,17.32
59,0.003479,0.008678,17.2306,11.4724,17.32
60,0.003240,0.008926,18.3012,12.2257,14.29
61,0.003131,0.009046,17.8816,12.0124,14.72
62,0.003164,0.008794,17.6467,12.3582,17.75
63,0.002990,0.008854,17.8414,12.0264,17.75
64,0.003200,0.008787,17.4946,11.1839,16.88
65,0.002909,0.008547,17.3034,11.1891,16.02
66,0.003026,0.008799,17.6158,11.5413,18.61
67,0.002905,0.008746,17.7969,11.4322,19.48
68,0.003023,0.008776,18.0032,12.2091,21.21
69,0.002890,0.008476,17.1461,10.8220,16.88
70,0.002836,0.008537,17.3917,10.8538,22.51
71,0.002982,0.008393,17.4445,11.0454,17.32
72,0.002904,0.008696,17.4020,10.9384,19.91
73,0.002701,0.008494,16.8701,10.9407,19.05
74,0.002829,0.008754,17.8472,11.8121,19.05
75,0.002815,0.008283,16.9039,10.9414,20.35
76,0.002906,0.008553,17.5472,11.3697,18.61
77,0.002721,0.008419,17.3249,11.2197,20.78
78,0.002842,0.008072,16.4365,10.7828,21.65
79,0.002657,0.008226,16.7370,10.9384,18.18
80,0.002601,0.008276,17.1157,11.5041,18.18
81,0.002829,0.008218,16.6258,10.6220,20.78
82,0.002667,0.008432,16.7797,11.3423,19.05
83,0.002679,0.008561,17.3107,11.6291,16.88
84,0.002716,0.008520,17.5894,12.0194,17.32
85,0.002833,0.008569,17.3997,11.2023,20.35
86,0.002766,0.008395,17.0056,11.2766,20.78
87,0.002762,0.008095,16.4565,11.0614,21.65
88,0.002869,0.007958,16.1384,11.0125,22.08
89,0.002799,0.008346,17.2647,11.6642,16.88
90,0.002730,0.008410,16.9467,11.3741,18.61
91,0.002603,0.008247,16.4526,10.1837,22.51
92,0.002684,0.008658,17.1012,10.5896,18.61
93,0.002757,0.008149,16.6122,10.7097,20.35
94,0.002646,0.008361,17.2076,11.2688,18.61
95,0.002646,0.008251,16.7301,10.0927,19.05
96,0.002548,0.008341,16.9457,10.4987,18.18
97,0.002611,0.008263,16.8531,11.2608,20.78
98,0.002625,0.008050,16.4725,10.5896,19.91
99,0.002568,0.008004,16.2851,10.2679,20.78
100,0.002556,0.007992,16.2869,10.5319,22.08
